skill_name,jobs_count,total_clean_jobposts
voice,716,
liability,715,
software design,712,
seo,711,
switching,711,
tableau,710,
db2,710,
tomcat,710,
quality management,709,
pdf,704,
swift,704,
oracle sql,701,
system administration,701,
graphics,700,
private banking,700,
public relations,697,
mssql,696,
print,696,
stock,692,
digital media,692,
project implementation,690,
import,690,
aix,690,
content management,690,
campaign,690,
max,689,
bim,689,
application support,689,
cisa,689,
financial reporting,688,
freight forwarding,688,
relational databases,685,
treatment,678,
customer relationship,678,
secondary education,677,
producing,677,
machinery,677,
marketing communications,675,
wsq,674,
sap system,672,
costing,672,
etiquette,670,
malay,669,
struts,667,
reliability,665,
punctual,665,
options,664,
software testing,663,
indonesia,661,
test cases,660,
profit,659,
verification,657,
ecommerce,657,
data mining,655,
partnering,651,
career development,651,
control systems,651,
mac,650,
data centre,650,
credit risk,649,
system design,648,
business finance,648,
user experience,648,
multimedia,648,
safe,647,
pre sales,647,
system integration,646,
visualization,641,
program management,641,
microsoft office word,638,
theory,638,
production support,637,
spreadsheets,636,
professional development,636,
workshops,635,
legislation,634,
classroom,634,
german,633,
ambitious,632,
securities,632,
french,629,
jboss,627,
interfacing,627,
customer satisfaction,626,
web design,625,
evidence,622,
fpso,620,
data center,619,
determination,617,
soa,616,
decision making skills,616,
angular,615,
workplace safety,615,
partnerships,611,
bootstrap,611,
audits,610,
teachers,607,
japanese language,607,
packaging,604,
hotel management,603,
dialects,603,
onshore,603,
uml,601,
possess strong analytical,600,
equity,599,
informatica,599,
cell,596,
service delivery,596,
coordination skills,595,
flash,595,
interpretation,595,
ups,594,
project delivery,594,
ftl,592,
strategic thinking,592,
cooking,590,
jenkins,589,
quality control,589,
data warehouse,589,
job search,587,
character,583,
nosql,583,
asean,582,
asset management,581,
transaction services,580,
microsoft project,580,
spss,578,
conferences,575,
helpdesk,574,
shortlisting,573,
quick learner,568,
sun,568,
fire safety,565,
campus,565,
team leader,563,
team lead,563,
eclipse,562,
ids,561,
waterfall,561,
erp system,559,
dhcp,559,
listening skills,558,
bgp,558,
visual basic,557,
business objects,557,
publishing,554,
hrm,554,
cms,554,
aerospace,553,
residential,553,
background checks,553,
financial analysis,552,
database design,550,
microsoft applications,550,
analyses,549,
interviews,548,
sybase,548,
css javascript,547,
healthcare industry,546,
due diligence,545,
nice,545,
statistical analysis,544,
kyc,544,
financial management,543,
sms,542,
training programs,542,
goal oriented,541,
cfa,540,
system development,540,
general insurance,539,
bar,538,
connectivity,538,
independence,537,
financial planning,536,
prevention,536,
maven,534,
customer support,533,
microsoft office excel,533,
murex,532,
wcf,532,
survey,532,
citrix,531,
performance management,531,
clustering,529,
aspx,529,
client management,526,
edge,525,
pregnancy,524,
negotiations,524,
data structures,522,
scheme,522,
risk assessment,522,
accreditation,520,
informed consent,520,
ifrs,519,
ethernet,518,
peoplesoft,517,
engineering design,515,
spc,515,
patience,515,
strategic planning,514,
ips,514,
pages,513,
sem,513,
journals,513,
material science,513,
resilience,510,
test automation,510,
network infrastructure,509,
version control,508,
controlling,507,
plants,507,
mpls,506,
hotels,506,
billing,505,
escalation,505,
tender,504,
audio,503,
journalism,503,
cei,502,
spark,502,
biotechnology,501,
commodity,501,
event management,500,
ospf,500,
dreamweaver,500,
restaurants,498,
data modeling,497,
machining,497,
stored procedures,494,
emc,493,
computers,493,
microsoft sql server,493,
macro,492,
ms office suite,492,
molecular biology,491,
it support,491,
ms powerpoint,489,
database management,489,
calm,488,
staffing,488,
project planning,487,
vulnerability,483,
outsourcing,483,
curiosity,483,
switch,482,
development projects,479,
